										 - Total - 					 - Home - 			 - Away -
							 Pld   W   D   L   F:A      +/-   Pts   W   D   L    F:A     W   D   L   F:A
1. Manchester City           15    14  1   0   46:10    +36   43    7   1   0   28:6     7   0   0   18:4 

2. Manchester United         15    11  2   2   35:8     +27   35    7   0   0   20:2     4   2   2   15:6 

3. Chelsea FC                15    10  2   3   28:12    +16   32    5   1   2   13:8     5   1   1   15:4 

4. Liverpool FC              15    8   5   2   33:14    +19   29    4   3   0   13:1     4   2   2   20:13 

5. Arsenal FC                15    9   1   5   29:20    +9    28    7   0   1   21:8     2   1   4   8:12 

6. Tottenham Hotspur         15    7   4   4   23:11    +12   25    3   3   1   9:4      4   1   3   14:7 

7. Burnley FC                15    7   4   4   14:10    +4    25    3   2   2   5:3      4   2   2   9:7 

8. Tottenham Hotspur         15    7   4   4   23:11    +12   22    3   3   1   9:4      4   1   3   14:7 

9. Burnley FC                15    7   4   4   14:10    +4    20    3   2   2   5:3      4   2   2   9:7 

10. Watford FC               15    6   4   5   25:21    +4    18    2   3   3   10:13    4   1   2   15:8 

11. Leicester City           15    5   5   5   20:16    +4    17    4   1   3   11:9     1   4   2   9:7 

12. Everton FC               15    5   3   7   19:25    -6    17    5   0   3   14:13    0   3   4   5:12 

13. Southampton FC           15    4   5   6   15:15    0     16    3   2   3   10:8     1   3   3   5:7 

14. Brighton & Hove Albion   15    4   5   6   14:16    -2    15    2   4   2   9:9      2   1   4   5:7 

15. Southampton FC           15    4   5   6   15:15    0     15    3   2   3   10:8     1   3   3   5:7 

16. Brighton & Hove Albion   15    4   5   6   14:16    -2    15    2   4   2   9:9      2   1   4   5:7 

17. Stoke City               15    4   4   7   18:24    -6    13    3   2   3   10:12    1   2   4   8:12 

18. Newcastle United         15    4   3   8   14:18    -4    10    3   1   3   7:8      1   2   5   7:10 

19. AFC Bournemouth          15    4   3   8   13:17    -4    10    2   2   4   9:9      2   1   4   4:8 

20. Huddersfield Town        15    4   3   8   9:26     -17   9     3   2   2   6:8      1   1   6   3:18 

